Título,Descripción
"Los 'whatsapps' de Sánchez a Ábalos en 2023: ""He echado de menos muchas veces trabajar contigo, también tu amistad""","El presidente del Gobierno mantuvo contacto con el ex ministro tras destituirle hasta que lo recuperó para las listas electorales en 2023. ""Siempre he valorado mucho tu criterio político. También tu amistad"", le dijo&nbsp;<a href=""https://www.elmundo.es/espana/2025/05/11/6820d2efe4d4d8d6628b459e.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"Page asegura que la presión de Sánchez con él ha sido ""ineficaz"" y Lambán apunta a su ""ira"" y ""pérdida de control"" cuando lo llamaba para quejarse","El presidente del Gobierno dio instrucciones a Ábalos para que ""marcara"" a los barones críticos&nbsp;<a href=""https://www.elmundo.es/espana/2025/05/12/68219831e85ecef75c8b458b.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"El poder que Sánchez dio a Ábalos: ""Llama al petardo este""","""Era el hombre del presidente, con el que compartía ideas, estrategias de campaña y mamporros a los rivales, pero también enlaces de redes sociales, emoticonos, chanzas y risas""&nbsp;<a href=""https://www.elmundo.es/espana/2025/05/11/6820d3f721efa009538b4584.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
Feijóo comunica a los barones que adelanta el congreso del PP: será el 5 y 6 de julio en Madrid,"""Con el objetivo de activar el partido"" y para ""estar preparados"" ante el nuevo ciclo electoral, la formación celebrará la cita este verano, en el ecuador de la legislatura&nbsp;<a href=""https://www.elmundo.es/espana/2025/05/12/6821b638fdddffa38d8b4597.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"Ayuso celebra el adelanto del Congreso del PP tras pedir ""acelerarlo"" por el ""runrún"": ""Es la oportunidad para convencer de que hay un proyecto alternativo al caos""","Tras los mensajes desvelados por EL MUNDO, la  presidenta madrileña carga contra Moncloa por ""pasar a cuchillo"" a Page, Lambán y Vara&nbsp;<a href=""https://www.elmundo.es/madrid/2025/05/12/6821a563e4d4d8e5228b459d.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
El Gobierno da un paso más para tratar de satisfacer a Puigdemont y llevará a votación la oficialidad del catalán en la UE,"Está previsto el próximo 27 de mayo y su aprobación se antoja muy improbable ya que se requiere unanimidad, por lo que no es descartable que Albares retire la propuesta en el último momento&nbsp;<a href=""https://www.elmundo.es/espana/2025/05/12/6821feb7fdddff85b98b456d.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"La próxima exigencia de Puigdemont: que Cataluña tenga su propia reducción de jornada y ""pensiones catalanas que se ajusten al mayor coste de la vida""","El líder de Junts exige desde Bruselas ""especificidad"" para la comunidad catalana en plenas negociaciones para la rebaja de 40 a 37,5 horas semanales&nbsp;<a href=""https://www.elmundo.es/economia/2025/05/12/6821e2ede85ece3c678b456e.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
El misterio del robo de la caja fuerte vaticana heredado por el papa León XIV,"Unos aseguran que las 22 carpetas contenían información sobre la desaparecida niña Orlandi. Otros, que estaba el dossier completo de la corrupción en la Santa Sede y que el hurto fue preparado por alguien que salía señalado. En esta historia hay un cura español del Opus y su amante, la silla de montar con piedras preciosas que un árabe regaló a un papa, Naomi Campbell y la lucha que libró Francisco por la honradez&nbsp;<a href=""https://www.elmundo.es/cronica/2025/05/12/68205701e4d4d899398b4571.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"El Papa pide la libertad para ""los periodistas encarcelados por contar la verdad""","""Solo un pueblo bien informado puedo tomar decisiones justas y apropiadas"", destaca el Pontífice&nbsp;<a href=""https://www.elmundo.es/internacional/2025/05/12/6821c689e4d4d8a06c8b45ae.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
Wall Street celebra la 'tregua' con China y da por terminada la guerra arancelaria,"El S&amp;P 500 supera los niveles del 'día de la liberación' con ganancias que superan el 2,5%. La tecnología americana, con firmas como Apple o Amaozn, se dispara&nbsp;<a href=""https://www.elmundo.es/economia/dinero-inversion/2025/05/12/6821f938fdddffa09d8b456d.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
