Título,Descripción
"Sánchez intervino en el rescate de Air Europa cinco días después de la ""llamada"" a Begoña que investiga la UCO","El presidente escribió a Ábalos ordenándole ""meditar"" y ver ""cómo enfocar"" la operación para salvar la aerolínea y posicionándose en contra de que acabara en manos de IAG&nbsp;<a href=""https://www.elmundo.es/espana/2025/05/13/6823621dfc6c83b7568b45c4.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"Sánchez da por buenos los mensajes pero los tacha de ""casquería"" y Feijóo clama: ""Váyase, convoque elecciones, algo de bochorno va a ahorrar a los españoles""","El presidente trata de defenderse ironizando sobre el próximo congreso de los populares y vaticinando que el PP perderá los comicios en 2027 porque su líder ""no funciona""&nbsp;<a href=""https://www.elmundo.es/espana/2025/05/14/68244043e4d4d8bd568b45ae.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"""Te tengo en mi alma"": el mensaje de Montero a Ábalos un año después de su destitución","La ministra de Hacienda mostraba una relación muy estrecha con el ministro, al que llamaba ""tronco"". En julio de 2022 le escribió de nuevo&nbsp;<a href=""https://www.elmundo.es/espana/2025/05/13/68236478fc6c83eb288b45de.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"Sánchez y Ábalos maniobraron para apartar a Mañueco ""trabajando"" con una tránsfuga de Ciudadanos","El presidente del Gobierno estaba al corriente de la operación para convencer a procuradores del partido 'naranja' de que se pasaran al Grupo Mixto&nbsp;<a href=""https://www.elmundo.es/espana/2025/05/13/68238256e85ece016f8b45b2.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
Alboroto en la pajarera de Pedro,"&nbsp;<a href=""https://www.elmundo.es/espana/2025/05/14/68246bcae4d4d8f35a8b45c3.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
El CIS de Tezanos aúpa 3 puntos al PP después del apagón y el caos ferroviario,"Mantiene al PSOE a la cabeza con un 32% en estimación de voto, pero recorta la distancia con Génova en 3,8 puntos&nbsp;<a href=""https://www.elmundo.es/espana/2025/05/14/68246be2e85ece424d8b4590.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"Las acusaciones populares piden tres años de cárcel a David Sánchez por tráfico de influencias y prevaricación mientras el hermano del presidente pide la nulidad por ""inasistencia de indicios criminales""","La defensa del músico presenta el recurso para evitar la apertura de juicio oral&nbsp;<a href=""https://www.elmundo.es/espana/2025/05/14/682466a021efa08c488b45c7.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"Eduardo Mendoza, tras recibir el Premio Princesa de Asturias: ""Quiero que en Cataluña haya concordia, buena voluntad, corridas de toros, vino, juerga y fútbol""","El jurado ha loado al escritor barcelonés como ""un proveedor de felicidad para los lectores"" a lo largo de sus cinco décadas de carrera&nbsp;<a href=""https://www.elmundo.es/cultura/literatura/2025/05/14/68248a1fe9cf4aef488b4587.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
Alarma en Alcalá de Guadaíra tras la explosión e incendio de una nave de productos químicos,"El fuego devora la planta de la empresa Plainsur en el polígono industrial La Red, a pocos kilómetros del casco urbano, y se desconoce si hay heridos&nbsp;<a href=""https://www.elmundo.es/andalucia/2025/05/14/6824920221efa06f1c8b45cc.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"Aagesen cierra filas con Corredor, justifica la injerencia del Gobierno en Red Eléctrica por ""interés general"" y descarta el ciberataque","La investigación que lidera la vicepresidenta tercera sigue sin arrojar conclusiones sobre la causa del apagón ni sobre sus responsables más de dos semanas después del incidente&nbsp;<a href=""https://www.elmundo.es/economia/macroeconomia/2025/05/14/68244a44e9cf4aef488b4572.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
