Título,Descripción
Feijóo convoca el congreso del PP en julio para “estar listos” ante el próximo ciclo electoral,"El cónclave de los populares, que se celebrará en Madrid, tendrá carácter extraordinario pero aprobará una ponencia ideológica"
"Ayuso, sobre el Congreso del PP que se celebrará en julio: “En el momento en el que hay runrún, conviene”","La presidenta madrileña, que había reclamado horas antes la convocatoria de la reunión, afirma que “cada uno tiene que dar su mejor versión y lo están haciendo muchos jueces y periodistas”"
"Última hora de la actualidad política, en directo | El PSOE aplaude la convocatoria de los populares: “Necesitan cambiar con urgencia un liderazgo desgastado”",Feijóo convoca el congreso nacional de su partido en julio en Madrid | La dirección socialista no ha dedicado “ni un segundo” a la publicación de los mensajes entre Sánchez y Ábalos
China y Estados Unidos llegan a un acuerdo para la reducción de aranceles durante 90 días,Washington reducirá las tarifas comerciales sobre los productos chinos del 145% al 30%. Pekín lo hará del 125% al 10%
La tregua comercial desata entusiasmo en Wall Street y anima a las Bolsas europeas,"Empresas automovilísticas y tecnológicas suben con fuerza, mientras que las farmacéuticas sufren fuertes caídas"
"Última hora de la guerra de Rusia y Ucrania, en directo | Europa insiste y reclama a Putin un alto el fuego en Ucrania antes de sentarse a negociar","Alemania afirma que si no hay tregua este lunes, habrá sanciones | Rusia ignora la propuesta de tregua de Zelenski y lanza un ataque masivo con drones durante la noche"
"El amigo ‘hermano mayor’ del Papa, al que vio llorar: “No se ha llamado ‘Francisco II’ por no molestar a los cardenales conservadores”","Pedro Vásquez es uno de los religiosos más cercanos a Robert Prevost, con el que se mensajea a menudo"
Xabi Alonso entrenará al Real Madrid desde el 1 de junio,"El técnico del Leverkusen llega a un acuerdo por tres temporadas con el club, que intentará incorporar tres fichajes ya para el Mundial de este verano"
Cómo la estación de tren peor ubicada se convirtió en ejemplo para la prevención de catástrofes,Los ingenieros de montes reivindican una gigantesca obra forestal emprendida hace más de 100 años en los Pirineos para reducir el impacto de avenidas como la del barranco del Poyo
La Fiscalía pide 107 años para un pederasta por violar a una niña de 12 años y ofrecerla en internet para que otros hombres la agredieran,"La menor vivía en un centro de menores y estaba en una situación vulnerable con “baja autoestima”, según el escrito del ministerio público"
Estados Unidos retrasa hasta 2026 el envío a Rota de su sexto destructor antimisiles,"Washington aduce motivos operativos y obras en el buque, pero los analistas apuntan a un giro en las prioridades de Trump hacia el Pacífico"
La ministra portuguesa de Energía: “Francia no tiene interés en acelerar nuestras interconexiones por su energía nuclear”,Los gobiernos ibéricos exigirán a Bruselas más presión sobre Macron para que no ponga “barreras al mercado interno”. Maria da Graça Carvalho considera que el apagón habría durado menos horas si la Península no estuviese tan aislada
El apagón desde el espacio: así registraron los satélites de la NASA la vuelta de la luz,Las imágenes satelitales nocturnas muestran cómo fue la recuperación gradual de la electricidad en varias regiones de la península
La jueza rechaza la declaración como testigo de la periodista que comió con Mazón el día de la dana,La magistrada justifica que el ‘president’ es aforado para declinar la comparecencia de Maribel Vilaplana. El ex número dos de Emergencias de la Generalitat imputado comparte abogado con Manos Limpias
Hamás anuncia que liberará al último rehén estadounidense vivo retenido en Gaza,"La entrega de Edan Alexander, soldado de 21 años con doble nacionalidad, llega tras la intervención de la Administración de Trump y será previsiblemente el martes"
Keir Starmer endurece las reglas de entrada de inmigrantes en respuesta al auge de la derecha populista,El Reino Unido duplica de cinco a 10 años el tiempo de estancia para adquirir la residencia permanente
30 años del entierro del  cementerio nuclear de Andújar,"La mayor parte de los 126 trabajadores de la fábrica jiennense murieron de cáncer por la exposición al uranio, pero solo a uno se le reconoció la enfermedad profesional"
El sepulcro de Santa Teresa de Jesús se reabre en Alba de Tormes 111 años después,"Las reliquias de la religiosa, que podrán contemplarse hasta el 25 de mayo, han despertado gran expectación"
El Supremo cita como testigo al exdirector de gabinete de Maroto por el ‘caso Ábalos’,El instructor pretende corroborar si el exministro de Transportes medió para la concesión de la licencia de hidrocarburos a una empresa de la trama
"Moreno anuncia la intención de la Junta de personarse ahora en el ‘caso ERE’, cuando se dirime que llegue al Tribunal Europeo","El barón popular asegura que adopta la decisión para recuperar los 700 millones de euros malversados, pese a que el dinero desviado no fue el objeto de la causa política que se dirime"
"Trump prevé aceptar un Boeing regalo de Qatar y usarlo como ‘Air Force One’, según la prensa",Los asesores del presidente afirman que sí es legal que la Administración acepte un regalo tan valioso de una potencia extranjera
Cambio de tiempo a partir del viernes: fin de los chubascos y subida de las temperaturas,"El día más fresco de toda la semana será el jueves, con 14° de máxima en Ávila y 18° en Madrid"
¿De dónde viene tanto odio hacia Bella Ramsey? La protagonista de ‘The Last of Us’ desata la furia de la ‘machosfera’,"Empezó con 11 años como una de las favoritas de ‘Juego de Tronos’, pero su salto a la madurez en la ficción apocalíptica la han convertido en la diana del internet trumpista que critica su físico, su identidad de género y su ideología"
"Llega Eurovisión 2025: nueva política de banderas que perjudica a las LGTBI+, acusado de ‘woke’ y satánico por la ultraderecha y con Israel entre las favoritas",Melody ya ensaya ‘Esa diva’ en Basilea y vuelve a avanzar varias posiciones en las apuestas tras pisar el escenario suizo
"Así es ‘The One’, la canción debut de los hijos de Shakira y Piqué: Sasha como cantante, Milan a la batería","El tema de los dos hijos de la artista y el exfutbolista, de 12 y 10 años, forma parte del álbum ‘All For You’, publicado por la fundación Let it Beat Academy, que da apoyo a artistas jóvenes"
Dentro del proceso creativo de una prenda de Zara: de la cabeza del diseñador al escaparate,"Un equipo de vídeo de EL PAÍS accede al complejo de Inditex en Arteixo, donde se pueden realizar todas las fases de producción de su ropa"
Burocracia y dignidad,El Gobierno debe facilitar al máximo la regularización de los inmigrantes afectados por la dana
No tengáis miedo,Las primeras palabras de León XIV contienen un mensaje revolucionario en medio de tantas amenazas
El antifeminismo de los ‘influencers’,Muchos creadores de contenidos para las redes están contribuyendo a promover una visión hostil hacia la igualdad de género
El milagro como solución lógica,"Solo en Roma podría haber crecido una institución tan dúctil y adaptable a las circunstancias como la Iglesia, que se ha vuelto a reinventar con León XIV"
El Papa es mío,"Los vínculos geográficos han dominado la conversación sobre la elección del Papa, una carrera en la que todos buscan un nexo con León XIV"
Flavita Banana: manzanaplanistas,Viñeta del 12 de mayo de 2025
El grupo armado kurdo PKK anuncia su disolución tras 40 años de lucha armada,"La organización, considerada terrorista por Turquía, la UE y EE UU, cumple así con la petición hecha a finales de febrero por su líder, Abdullah Öcalan, hoy en prisión"
Trump viaja a las monarquías del Golfo para cerrar lucrativos acuerdos económicos en la primera gira del mandato,"El presidente de EE UU visitará Arabia Saudí, Qatar y Emiratos Árabes Unidos, pero no Israel tras enfriarse la relación"
"Serguéi Medvedev, exiliado ruso bajo orden de arresto: “Rusia es un imperio enfermo y en descomposición que no quiere aceptar su fin”","El periodista y escritor moscovita, residente hoy en Praga, se enfrenta a una posible condena por “difamación”. “La guerra en Ucrania puede continuar sin Putin”, afirma"
Las fuerzas ultras asedian el proyecto europeo construido sobre las cenizas de la II Guerra Mundial,La Unión cumple 75 años con grandes desafíos internos y más amenazas exteriores que nunca en un mundo en transformación
La crisis del cólera empeora en Sudán del Sur mientras surgen nuevos combates y se desvanece la ayuda humanitaria,"Más de 47.000 personas se han visto afectadas por el peor brote de esta enfermedad en dos décadas. Esta última oleada sucede en condiciones aún más terribles: inundaciones, desplazamientos de población, nuevos enfrentamientos, recortes de fondos y una sanidad al límite"
La pastilla contra la hipertensión en adultos también ayuda a los niños con piel de mariposa,Nuevas investigaciones revelan el potencial de fármacos con décadas en el mercado para tratar enfermedades distintas a las que llevaron a su aprobación
Las falsedades de Ayuso para desacreditar el plan de calidad de las universidades privadas,La presidenta de Madrid carga contra los campus de Canarias y Andalucía y anuncia que recurrirá la modificación del decreto iniciada por el Gobierno
No se puede escribir un texto feminista mientras te piden que aprietes el culo,"‘TintaLibre’ recoge las reflexiones de Nuria Labari, que analiza la violencia hacia las mujeres desde la hipersexualización del cuerpo y la nueva moda de las medias ‘push up’"
"Menú del día a 10,50 euros en la calle donde el piso más barato está en 1,5 millones","Cuatro comercios sobreviven en un radio de 50 metros en la calle Villalar, en pleno barrio de Salamanca, rodeados de boutiques de lujo, tiendas y restaurantes exclusivos"
Cinco periodistas de EL PAÍS analizan la lista de las 50 mejores películas españolas de los últimos 50 años,Desde ‘Arrebato’ de Zulueta a ‘Mujeres al borde de un ataque de nervios’ de Almodóvar o ‘La escopeta nacional’ de Berlanga: estas son las vencedoras del proceso de selección
Zara en la era de Marta Ortega,"Se cumplen 50 años de la primera tienda de la marca en A Coruña. Hemos viajado de China a Portugal y de Zaragoza a Arteixo para conocer las claves de la Zara actual. El visionario proyecto de Amancio Ortega marcha con nuevas ambiciones hacia el futuro bajo el liderazgo de su hija Marta Ortega. “No se trata de vender más, sino de vender bien”, nos dice la presidenta."
Retorno a Siria: un país arrasado en busca de libertad,"El escritor franco-estadounidense Jonathan Littell, conocido por su novela ‘Las benévolas’, viajó a Siria en 2012, meses después del comienzo de la guerra civil. Ha regresado a Homs, uno de los focos de la rebelión contra el dictador Bachar el Asad, 13 años después, bajo el auspicio de Lena, la alianza de periódicos de la que forma parte EL PAÍS. Se ha encontrado con una ciudad arrasada y unos ciudadanos esperanzados, pero preocupados por la posible deriva del nuevo Gobierno hacia el autoritarismo"
‘Princesa’ cumple 40 años: un clásico que no es solo de Sabina y comenzó en el Festival de Benidorm,"La célebre canción, que cierra los conciertos de la actual gira del jienense, tuvo mucha vida antes de que lo grabase en el disco ‘Juez y parte’"
"El matrimonio de médicos ucranios que huyó de la guerra en coche, aprobó el MIR en España y consiguió plaza en la misma ciudad",Han escogido esta semana las especialidades de ginecología y otorrinolaringología en Sevilla tras haber conseguido los puestos 1.693 y 1.698 en el examen
Puigdemont denuncia que “hay una convergencia de intereses para joder a Junts de la manera que sea”,El expresidente catalán reúne en Bélgica a los diputados de su partido y vaticina que su regreso puede hacerse esperar un tiempo: “tal vez mucho”
La Universidad de Barcelona suspende de empleo y sueldo a un profesor por usar su cargo “para conseguir favores sexuales de una alumna”,"El docente lleva apartado un año y medio de sus funciones por el caso, que la justicia archivó porque no vio delito"
Un Raval més centre que marge: la generació que es rebel·la contra l’exotització del barri,"25 anys després que ‘De nens’ o ‘En construcción’ exposessin les ferides d’un barri reformat fins en el nom, noves ficcions i documentals exploren la ressaca de l’higienisme urbanístic"
"126 testigos, 13 días y un fuerte dispositivo de seguridad para el juicio del cuádruple homicidio de la boda de Torrejón",Este lunes comienza el proceso en el que Micael Da Silva se enfrenta a prisión permanente revisable por arrollar y matar con su coche a cuatro asistentes en un enlace en noviembre de 2022
Madrid reconoce ahora el “riesgo para la salud” que supone el calor en las escuelas y compra 205 aires acondicionados,"La Comunidad limita por ahora la medida a centros que atienden a alumnos de hasta tres años, pues siguen abiertos incluso en julio"
Las obras en la L6 comenzarán el día 31: sin metro hasta septiembre de Moncloa a Méndez Álvaro,"En una segunda fase de las obras, entre el 13 septiembre y el 31 de diciembre, se cerrará la zona este, entre Moncloa y Legazpi"
La película de Trump: imponer aranceles para devolver la producción cinematográfica a Hollywood,La amenaza del presidente reanima el debate sobre los estímulos al cine y a la televisión en un panorama global altamente competido
El avión verdadero de ‘Top Gun’ y la piloto de caza que se mató a sus mandos en 1994 protagonizan el dramático álbum de cómic ‘Tomcat’,"El dibujante Romain Hugault dedica su nueva obra a su madre, también aviadora y fallecida en un accidente aéreo en 2022 a los pocos días de ver juntos la secuela de la película de Tom Cruise"
Dua Lipa: la victoria cantada de una reina con más talento que planificación,"La reina del ‘Optimismo Radical’ alterna en Madrid brillantez y patinazos, incluida una versión de Enrique Iglesias, en el desembarco europeo de un espectáculo más bien tópico"
Jaume Plensa ingresa en la Real Academia de Bellas Artes: “Mi labor como artista ha sido transformar el yo en el nosotros”,"El escultor catalán, nuevo miembro de número en la sección de Escultura, defiende en su discurso el papel del arte para “llenar la oscuridad de luz” en tiempos donde la sociedad “convive anónimamente con la violencia y el dolor”"
Lorenzo Silva y ‘Las fuerzas contrarias’: Bevilacqua y Chamorro siguen contándonos España a ritmo de buen policial,La nueva entrega de la pareja de guardias civiles se enmarca en la pandemia y prueba la vitalidad de una serie que ya es historia del género
Cuatro operaciones inmobiliarias por más de 10.000 millones tiemblan ante el efecto Trump,"La incertidumbre por la guerra comercial abre un paréntesis en las decisiones de los mayores fondos. En España, agudiza la dificultad para encontrar capital para grandes transacciones como la de Livensa, HIP, Nestar y Aedas"
Las materias primas registran su mejor día en Bolsa desde 2022,La reducción de aranceles pactada entre EE UU y China dispara la cotización de las mineras europeas e impulsa al petróleo
El bum de los hoteles económicos en España: ya superan al lujo y concentran el 17% de la inversión,"Los fondos para estos inmuebles se cuadruplicaron en el primer trimestre y supusieron la mitad de los captados en 2024, según CBRE."
El clásico encumbra al Barcelona: remontada ante el Real Madrid en un partido de vértigo,"Los azulgrana remontan en 15 minutos dos goles de Mbappé con tantos de Raphinha, Lamine Yamal y Eric García en Montjuïc. La Liga podría resolverse a favor de los de Flick esta misma semana"
Alcaraz resuelve una extraña noche de espesura,"El murciano accede por primera vez a los octavos del Foro Itálico tras imponerse a Djere (7-6(2) y 6-2) en un duelo insípido, con más imprecisiones que inspiración"
