Título,Descripción
"Aagesen descarta el ciberataque a REE y ubica el origen del apagón en Granada, Badajoz y Sevilla",La ministra de Transición Ecológica descarta que el problema del cero energético estuviera en el tamaño de las redes pide desconectar este evento del debate de calendario nuclear y confirma que lo estudiará si las empresas lo cambian
Sánchez convoca la Conferencia de Presidentes el próximo 6 de junio en Barcelona,El presidente del Gobierno pone fecha por sorpresa a una nueva cita del foro de diálogo autonómico: será la segunda cita en medio año después de la celebrada en diciembre en Santander
"Premio Princesa de Asturias a Eduardo Mendoza, un “proveedor de felicidad”","El escritor suma un nuevo galardón a su carrera, que también cuenta con los premios Cervantes o Ciutat de Barcelona"
Los libros de Eduardo Mendoza que no te puedes perder,"A raíz de la publicación en 1975 de 'La verdad sobre el caso Savolta', el escritor se convirtió en uno de los autores más demandados y queridos por los lectores&nbsp;"
"Eduardo Mendoza: ""Los barceloneses somos ya como indios en la reserva... y me parece bien""","El escritor publica nueva novela, 'Tres enigmas para la Organización'"
"La niña violada bajo el paraguas de la DGAIA se fue a vivir con un novio adulto, ¿quién lo aprobó?",Un educador revela que la alarma solo saltó cuando la menor ya llevaba 2 años de abusos y habla de errores
El Govern abre expediente para revisar la actuación de la DGAIA en los abusos a una niña tutelada,"&nbsp;“Ante la gravedad de los hechos y con voluntad de transparencia”, la consellera Martínez Bravo presentará en sede parlamentaria las conclusiones del documento"
Así fue la detención del electricista que abusó de una niña que se encontraba bajo el paraguas de la DGAIA,Los hechos ocurrieron entre mayo de 2020 y octubre de 2021 y la primera detención se produjo en el 2022
Trump se reúne con el presidente de Siria tras el anunciar el levantamiento de sanciones,El líder estadounidense pone como condición la normalización de relaciones entre Siria e Israel
"Nueve españoles retenidos en un hotel de Trípoli, en mitad del fuego cruzado entre milicias",Todos ellos forman parte de una misión de 21 españoles en la que participa la Cámara de Comercio de Tarragona y la Federación de Mujeres Empresarias de Asturias
Ábalos reconoce que consintió la filtración de los mensajes con Sánchez del 2023,El exministro niega ser el autor de las filtraciones pero reconoce que dio una copia&nbsp; a alguien del ámbito de su defensa de las conversaciones de hace dos años&nbsp;<br />
Sánchez se defiende del “váyase” de Feijóo por los mensajes de Ábalos y cuestiona su liderazgo,El presidente del Gobierno y el líder de la oposición protagonizan un nuevo rifirrafe en la sesión de control
"El PP se recupera a costa de Vox y recorta distancias con el PSOE, en el CIS","Los populares recortan a la mitad la distancia con los socialistas de hace un mes, según el barómetro de mayo, realizado justo después del gran apagón"
"Robos, secuestros y amputaciones: bandas criminales se lanzan a por los criptomillonarios",Una pareja y su hijo de dos años lograron zafarse ayer in extremis de un intento de secuestro en pleno centro de París
El antitrumpista antes de Trump: así opinaba Mujica del presidente de EE.UU.,"Personalidades y polos ideológicos opuestos: el difunto expresidente uruguayo simbolizó la humildad y honestidad política; Trump, las peores prácticas y despotismo"
“Con León XIV cambia la línea vaticana sobre Ucrania”,"“Lo de Provost fue una elección preparada, lo de Parolin no era una opción real”"
"Claves de la renta 2024: más exenciones, nuevas deducciones y cambios en los umbrales","Josep Ribó, presidente del Col·legi Oficial de Gestors Administratius de Catalunya, repasa las nuevas deducciones, sentencias y las condiciones especiales de la campaña de renta 2024 para rentabilizar el Impuesto sobre la Renta de las Personas Físicas<br />"
Las reservas de una decena de países europeos complican la oficialidad del catalán en la UE,"Entre los escépticos al nuevo intento del Ejecutivo de Pedro Sánchez de llevarlo a votación se encuentran Alemania, Francia, Italia, los Bálticos o Suecia"
Vila: “Prácticamente no se ha rechazado ninguna aportación de Junts y CUP en el Pacte per la Llengua”,"Francesc Xavier Vila, conseller de Política Lingüística"
Los días de calor extremo y las noches tórridas se multiplicarán en el área de Barcelona,"Un estudio del proyecto ICARIA prevé que la temperatura de la capital catalana y su conurbación aumentará entre 1,7 y 3,7 grados hasta finales de siglo"
Un tercio de los niños valencianos vive en riesgo de pobreza y exclusión,"Las comarcas con mayor nivel de renta familiar son València, Els Ports  y l’Horta Nord, que superan en más de 6.000 euros a la Vega Baja y las Marinas"
Comunidades infrafinanciadas piden a la ministra Montero “valentía”,El Ivie alienta la reivindicación de territorios como la Comunidad Valenciana porque hay “muy buenos argumentos”
"Otro pacto de PP y Vox en las Corts: reducción de tasas, exenciones y facilidades para la caza",En los presupuestos ya se pactaron 900.000 euros para medidas encaminadas a disminuir el tamaño de las poblaciones del jabalí en lugares de sobreabundancia
Seis estaciones de metro de Madrid se decoran de chulapas y chulapos la semana de San Isidro,"Se trata de Latina, Alonso Martínez, Argüelles, Ventas, Ópera y Colombia"
San Sebastián de los Reyes acoge en la plaza de toros el concurso a la mejor pizza de España,Compiten 18 restaurantes en la primera edición de esta competición del 15&nbsp; de mayo al 1 de junio
El delegado del Gobierno en Madrid declara hoy como investigado en el caso de Begoña Gómez,Francisco Martín fue imputado la semana pasada&nbsp;“por su aparente participación en el nombramiento de Cristina Álvarez” para el ejercicio de funciones privadas de la mujer del presidente del Gobierno
Cocaína y alcohol: la mitad de adictos que piden ayuda consumen más de dos sustancias a la vez,"&nbsp;La ‘coca’ supone el 44 % de las peticiones de ayuda, seguido muy de cerca por las bebidas alcohólica<br />"
Una herramienta de telemedicina revoluciona el seguimiento de la insuficiencia cardíaca,"Desarrollada por el hospital de Bellvitge, reduce hasta un 54% la mortalidad tras una hospitalización"
Así es como el Etna vuelve a entrar en erupción,El volcán más activo de Europa registró una intensa actividad en la madrugada del 13 de mayo
¿Cómo proteger tus inversiones en tiempos de crisis económica?,
El juez impone una nueva pena a los hermanos Menendez y los hace elegibles para la libertad,"El fallo pasa de cadena perpetua a 50 año o toda la vida, pero esto abre la puerta de forma inmediata a que la junta penitenciar les pueda dar la condicional tras haber cumplido 35 años en prisión"
"El ministro Óscar Puente, padre por tercera vez con su actual pareja, Yasmina Gregori","El político socialista, que tiene ya dos hijas de su anterior matrimonio, ha anunciado que el pequeño llevará su nombre"
Las imágenes del día,Capturas que inmortalizan los instantes más preciados del día.
"El Ejército no ha enviado tanques a Barcelona, como sugieren vídeos virales",Los carros de combate viajaban a Zaragoza para realizar unos ejercicios previstos
ChatGPT se cuela en el polémico ritual del tarot y el consuelo low-cost,"Aficionados al tarot han encontrado en ChatGPT una forma fácil, directa y gratuita de conocer su futuro a través de las cartas<br />"
Cinco viviendas únicas en Barcelona donde la historia y el diseño conviven,"La capital catalana está en el punto de mira de quienes buscan una ciudad amable para vivir. La inmobiliaria Savills cuenta con una cartera de propiedades que satisfacen tanto a quienes desean un inmueble con pasado modernista, como para los que se decantan por el lujo contemporáneo"
"“Las rotondas dan vergüenza, España es ‘Nación Rotonda’”","Tengo 62 años. Soy de Páramo del Sil (León) y vivo en Madrid. Soy periodista y novelista. Estoy soltero. ¿Política? Soy socialdemócrata. ¿Creencias? Soy agnóstico. Si no rectificamos, vamos hacia la autoextinción. Los españoles no amamos a nuestro país: votamos a políticos que lo destrozan. (Foto: Mané Espinosa)"
Los extremos climáticos se invierten en Europa: lluvias en el sur; sequía en el centro y norte,"El calentamiento global provoca un déficit de lluvias en zonas habitualmente húmedas (Europa central, Gran Bretaña y Escandinavia) y lluvias por encima de lo habitual en España, Portugal y zonas de Francia e Italia"
"2027, la madre de todas las batallas",
Juegos de guerra (con IA),La inteligencia artificial y los robots entran de lleno en la escalada de la inversión militar
"El Ejército no ha enviado tanques a Barcelona, como sugieren vídeos virales",Los carros de combate viajaban a Zaragoza para realizar unos ejercicios previstos
El catálogo de las coartadas fantasiosas,"Los acusados tienen derecho a guardar silencio en un juicio, declarar y hasta mentir, pero a veces el relato que usan para defenderse es inverosímil y hasta burlesco"
Vuela hasta la órbita de Apple con un iPhone 16 reacondicionado,La continua renovación de smartphones de la marca de la manzana permite conseguir modelos con grandes prestaciones a precios inmejorables
Este es el pueblo más bonito de Italia (según los italianos) y está en Sicilia,"Militello in Val di Catania, un tesoro del barroco enclavado a los pies del Etna, ha sido reconocido por los italianos como 'Borgo dei Borghi' en la doceava edición del concurso organizado por la RAI&nbsp;"
El ahorro extra abarata la hipoteca: ¿hoy cuánto se necesita?,Superar la tasa recomendada da acceso a mejores condiciones si se busca financiar una vivienda
