Título,Descripción
"La Reina Letizia, en Murcia: «En tiempos de incertidumbre tenemos que aferrarnos a la humanidad»","La monarca incluye un alegato en favor de la «humanidad» en su discurso durante la entrega de premios de Cruz Roja, celebrada en el Teatro Romea"
El Supremo se opone a la subida escalonada de los caudales ecológicos en el tramo del Tajo que afecta al Trasvase,"El Tribunal considera que esta parte del cauce está protegida, por lo que una subida progresiva de los volúmenes mínimos vulnera la directiva europea de agua"
Comunidad y Ayuntamiento alertan de posible «inestabilidad» de los desechos mineros con el sellado de Portmán,Ambas administraciones advierten del riesgo de filtraciones subterráneas de los estériles al mar si el Ministerio lleva a cabo el plan que anunció
"El PSOE reduce en 2,6 puntos su ventaja sobre el PP tras el apagón según el CIS",Los socialistas ganarían las elecciones con el 32% de los votos como refleja el barómetro correspondiente a abril
"Alcaraz - Draper, en directo",El murciano se enfrenta al estadounidense en cuartos de final
Rescatan a una mujer de 75 años al incendiarse una vivienda en Murcia,El fuego se originó en un segundo piso de un edificio de la plaza Yesqueros
Cataluña investiga qué falló en el caso de la víctima de una red de pederastia,Hay una treintena de hombres bajo investigación ante la sospecha de que conformaran una red de pederastia que presuntamente abusó de 25 menores
Aemet activa el aviso amarillo por tormentas en la Región para este jueves,Meteorología advierte de que las precipitaciones pueden ir acompañadas de granizo
"El escritor Eduardo Mendoza, Premio Princesa de Asturias de las Letras: «Soy un hombre feliz»","El escritor barcelonés corona su brillante trayectoria en el cincuenta aniversario de su primera obra, 'La verdad sobre el caso Savolta'"
Hasta 230 empresas familiares reciben la ayuda del 99% para la transmisión del negocio en la Región,"Las medidas fiscales del Gobierno autonómico han permitido alcanzar esta cifra en los últimos dos años, según se ha expuesto este miércoles durante las Jornadas Tributarias"
El Rey Felipe VI visitará el submarino S-81 'Isaac Peral' en Cartagena el próximo lunes,"El monarca acudirá al Arsenal Militar para conocer el navío antes de su puesta en funcionamiento, el próximo julio"
La CHS trabaja en recuperar el bosque de ribera nativo en el entorno del río Argos,El organismo de cuenca avanzar en las actuaciones de restauración ambiental del cauce a su paso por Cehegín
Murcia albergará el 24 de mayo un nuevo concierto secreto del movimiento Sofar Sounds,"La emblemática marca, presente en más de 400 ciudades de todo el mundo, mantendrá ocultos el cartel y la ubicación especial hasta 48 horas antes de la celebración"
"El Gobierno confirma que el apagón se originó en Granada, Badajoz y Sevilla",La ministra Sara Aagesen pone el foco en las oscilaciones que ocurrieron media hora antes de la desconexión total y descarta que se debiera a un problema de cobertura o a un ciberataque
'Fan zone' y entradas a 10 euros para ver la fase de ascenso a la ACB del Cebé Cartagena,El equipo albinegro está a cinco partidos de subir a la máxima categoría y este viernes en Sevilla afronta el primero contra el Betis
El Supremo rechaza el intento de Koldo de frenar la investigación de la UCO sobre los supuestos amaños de obra pública,El instructor desestima el recurso del exasesor de Ábalos e insiste en que esta causa ya no solo versa sobre la compra de mascarillas
Detienen a un conductor que arrolló a una motorista y se dio a la fuga en Murcia,"La mujer resultó herida de gravedad como consecuencia del impacto, que ocurrió en la rotonda conocida como Isla Grossa"
La Justicia de EE UU abre la puerta a la libertad condicional de los hermanos Menéndez tras rebajar su condena,"Lyle y Erik, que asesinaron a sus padres en 1989, han visto reducida su cadena perpetua a 50 años, de los que ya han cumplido 35"
Las protestas se recrudecen en Navantia por la falta de avance en las negociaciones y el incumplimiento reiterado del convenio,Efectivos de la Guardia Civil se han personado en la entrada de la factoría en Cartagena por una denuncia que decía que no se le deja acceder a su puesto de trabajo
Estas son todas las actividades en la Región por el Día de los Museos,"La programación reúne esta semana exposiciones temporales, pintura en directo, talleres didácticos y visitas guiadas"
Nueve españoles retenidos en un hotel de Trípoli debido a los combates entre guerrillas,"El grupo llegó el lunes en misión comercial a la capital libia, donde el asesinato del líder de una milicia ha desatado intensos combates entre facciones rivales"
Jordi González revela que ha estado a punto de morir a causa de una bacteria,Fueron necesarias tres semanas en coma inducido y una traqueotomía para salvarle la vida
Comienza la rehabilitación de la Torre Alfonsina de Lorca con una inversión de 600.000 euros,"Se mejorará la accesibilidad en el monumento, que recibe 80.000 visitas al año"
Conceden a un maquinista de Renfe el traslado geográfico por conciliación,"El TSJ estima que «cuando está en juego el interés de los menores, sus derechos exceden del ámbito estrictamente privado»"
Telefónica pierde 1.304 millones hasta marzo por la venta de Argentina y Perú,"Los primeros resultados con Marc Murtra al frente reflejan unos ingresos un 9% inferiores a los del primer trimestre de 2024, hasta los 9.221 millones, pero confirman un dividendo de 0,30 por acción"
El Ayuntamiento de Molina adquiere un local en la plaza de la Región Murciana para la nueva comisaría de Policía Local,"El alcalde, José Ángel Alfonso, destaca que «nos permitirá reforzar la presencia policial, mejorar la atención vecinal y dinamizar una de las zonas más vivas del municipio»"
HoyTú advierte de que Murcia puede perder en pocos años la mitad de su ocio nocturno,"La patronal pone en marcha una campaña para pedir la derogación de las restricciones establecidas para las calles de menos de siete metros, ya que 17 de los 34 pubs de la ciudad se ven afectados"
Suecia pasa a la final de Eurovisión en una noche marcada por Melody y la eliminación de Bélgica,"Eslovenia, Bélgica, Azerbayán, Croacia y Chipre han sido los países eliminados en la primera semifinal del concurso"
Un ejército de mariquitas para combatir las plagas en los huertos de ocio de Murcia,Más de 2.800 ejemplares lucharán contra el pulgón en 11 fincas como medida de control sostenible
"«Adiós amigo», «viejo querido»: el mundo llora la muerte de Pepe Mujica",Las reacciones de solidaridad y recuerdos del exmandatario uruguayo se han multiplicado tras conocerse este martes su fallecimiento
